"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6237","User registration test @master @sanity @regression","chromium","Mon Jun 09 23:03:34 IST 2025","passed","Mon Jun 09 23:03:40 IST 2025","","AccountRegistration.spec.ts","",""
"","4527","Login Test with JSON Data: Valid login @datadriven","chromium","Thu Jun 05 19:46:12 IST 2025","passed","Thu Jun 05 19:46:16 IST 2025","","LoginDataDriven.spec.ts","",""
"","13453","User registration test","webkit","Thu Jun 05 15:43:27 IST 2025","passed","Thu Jun 05 15:43:41 IST 2025","","AccountRegistration.spec.ts","",""
"","30040","User registration test","firefox","Thu Jun 05 15:43:27 IST 2025","broken","Thu Jun 05 15:43:57 IST 2025","","AccountRegistration.spec.ts","",""
"","33628","User registration test","chromium","Thu Jun 05 16:00:00 IST 2025","broken","Thu Jun 05 16:00:34 IST 2025","","AccountRegistration.spec.ts","",""
"","1816","User login test @master @sanity @regression","chromium","Mon Jun 09 23:03:43 IST 2025","passed","Mon Jun 09 23:03:45 IST 2025","","Login.spec.ts","",""
"","2307","User logout test @master @regression","chromium","Mon Jun 09 23:03:45 IST 2025","passed","Mon Jun 09 23:03:47 IST 2025","","Logout.spec.ts","",""
"","3210","Login Test with CSV Data: Valid login @datadriven","chromium","Thu Jun 05 19:46:20 IST 2025","passed","Thu Jun 05 19:46:23 IST 2025","","LoginDataDriven.spec.ts","",""
"","30941","execute end-to-end test flow @end-to-end","chromium","Thu Jun 05 19:48:54 IST 2025","broken","Thu Jun 05 19:49:25 IST 2025","","EndToEndTest.spec.ts","",""
"","3118","Login Test with CSV Data: Invalid login @datadriven","chromium","Thu Jun 05 19:46:23 IST 2025","passed","Thu Jun 05 19:46:26 IST 2025","","LoginDataDriven.spec.ts","",""
"","3140","Login Test with JSON Data: Invalid login @datadriven","chromium","Thu Jun 05 19:46:17 IST 2025","passed","Thu Jun 05 19:46:20 IST 2025","","LoginDataDriven.spec.ts","",""
"","1198","Product search test @master @regression","chromium","Mon Jun 09 23:03:47 IST 2025","passed","Mon Jun 09 23:03:48 IST 2025","","SearchProduct.spec.ts","",""
"","2223","Add product to cart test @master @regression","chromium","Mon Jun 09 23:03:41 IST 2025","passed","Mon Jun 09 23:03:43 IST 2025","","AddToCart.spec.ts","",""
